experiment_name,setting_name,request_rate,batch_size,scheduler,failure_rate,config_failure_rate,total_requests,completed_requests,failed_requests,avg_latency,p50_latency,p95_latency,p99_latency,throughput,failure_rate_actual,timestamp
batch_size_tradeoff,rate_200_batch_1_sched_batching,200,1,batching,0.0,0.0,1216,1216,0,182.58,182.82,212.08,254.44,60.54,0.0,2026-05-05T03:46:35.991997
batch_size_tradeoff,rate_200_batch_4_sched_batching,200,4,batching,0.0,0.0,1625,1625,0,5102.47,90.27,168.21,360.79,1.57,0.0,2026-05-05T04:03:51.103125
batch_size_tradeoff,rate_200_batch_8_sched_batching,200,8,batching,0.0,0.0,1601,1600,1,3716.08,109.0,184.21,196.62,1.63,0.0006,2026-05-05T04:20:10.977361
batch_size_tradeoff,rate_200_batch_16_sched_batching,200,16,batching,0.0,0.0,1236,1225,11,3476.69,145.88,238.99,245.18,1.18,0.0089,2026-05-05T04:37:33.676144
