experiment_name,setting_name,request_rate,batch_size,scheduler,failure_rate,config_failure_rate,total_requests,completed_requests,failed_requests,avg_latency,p50_latency,p95_latency,p99_latency,throughput,failure_rate_actual,timestamp
scheduler_comparison,rate_150_batch_8_sched_fifo,150,8,fifo,0.0,0.0,1408,1408,0,199.7,114.55,125.68,7765.09,1.35,0.0,2026-05-05T04:54:59.701299
scheduler_comparison,rate_150_batch_8_sched_batching,150,8,batching,0.0,0.0,1360,1352,8,1218.73,108.05,201.89,222.7,4.28,0.0059,2026-05-05T05:00:16.018196
scheduler_comparison,rate_150_batch_8_sched_latency_aware,150,8,latency_aware,0.0,0.0,1552,1552,0,97.79,96.58,115.89,138.09,77.66,0.0,2026-05-05T05:00:36.418755
